query,intention,other
pharmacie St Germain du puy,pharmacy,
pharmacie St Géniès de Malgoires,pharmacy,
pharmacie de lacenas,pharmacy,
pharmacie de labenne,pharmacy,
pharmacie saint nauphary,pharmacy,
pharmacie saint molf,pharmacy,
Dax pharmacie de garde,pharmacy,
Des terrasses de l'Arche pharmacie,pharmacy,
Décines pharmacie bonneveau,pharmacy,
Côte de nacre pharmacie,pharmacy,
dol de bretagne pharmacie,pharmacy,
commelle vernay pharmacie,pharmacy,
restaurant,restaurant,
bistrot à proximité du Théatre des Champs Elysées,supermarket,
restaurant nancy,restaurant,
restaurant metz,restaurant,
restaurant caen,restaurant,
restaurant blagnac,restaurant,
restaurant bourges,restaurant,
restaurant chartres,restaurant,
restaurant bourg en bresse,restaurant,
restaurant lorient,restaurant,
restaurant nimes,restaurant,
restaurant montauban,restaurant,
rennes pizzeria,restaurant,
restaurants nantes,restaurant,
restaurant epinal,restaurant,
restaurant obernai,restaurant,
restaurant troyes,restaurant,
resto beuzeville,restaurant,
resto bon et pas trop cher pres du pantheon paris,restaurant,
resto blagnac,restaurant,
resto chinois clean,restaurant,
resto chinois beaune,restaurant,
resto chinois a emerainville,restaurant,
buffets restaurants asiatiques tours,restaurant,
Restaurant saint omer,restaurant,
Restaurant poivre rouge à garde,restaurant,
Restaurants trans en provence,restaurant,
Restaurants st jean de beauregard,restaurant,
Restaurants saint tropez ouverts en janvier,restaurant,
Restaurants proche grand palais paris,restaurant,
Restaurants poissons cannes.,restaurant,
Restaurants place morgan 13 salon,restaurant,
madeleine paris restaurant,restaurant,
Restaurants place du corbeau Strasbourg,restaurant,
Restaurants près  Gare Montparnasse,restaurant,
Restaurants près Montparnasse,restaurant,
Restaurants près aeroport blagnac,restaurant,
Restaurants quartier beaugrenelle,restaurant,
Restaurants à Pont de Celles,restaurant,
Restauration rapide à brignoles,restaurant,
Restaurant indien Villeneuve les Avignon,restaurant,
Restaurant indien Pau,restaurant,
Pizzeria lille,restaurant,
Pizzeria leclerc cherre,restaurant,
Restos à marseille,restaurant,
Restos tours,restaurant,
restaurant bourg en bresse,restaurant,
pralognan restaurant,restaurant,
brest restau,restaurant,
resto nantes,restaurant,
supermarché,supermarché,
Monoprix Luneville,supermarket,
Bricorama Châtillon,supermarket,
lidl chalon,supermarket,
carrefour compiegne,supermarket,
spar alimentation lorient,supermarket,
petit casino charavine,supermarket,
nocibe auchan,supermarket,
proxi alimentation fréteval,supermarket,
Lidl vitry sur seine,supermarket,
Biocoop à Lambersart,supermarket,
Aldi roinville,supermarket,
commerces proximité 1ère classe Roissy Charles de Gaulle,supermarket,
commerce à proximité de nanchez,supermarket,
Leclerc à Nice,supermarket,
coutelier Picardie,supermarket,
franprix jules joffrin,supermarket,
grand frais Montelimar,supermarket,
drive carrefour market,supermarket,
drive carrefour market colomiers,supermarket,
e.leclerc de montceau les mines 71300,supermarket,
e.Leclerc Sport st pol de leon,supermarket,
e. leclerc le plan de grasse,supermarket,
e leclerc quimper,supermarket,
e-leclerc mimizan,supermarket,
dépannage chauffage lesparre,supermarket,
déménagement express pas cher,supermarket,
déménagement express,supermarket,
déménageurs spécialisés de pianos en normandie,supermarket,
dépannage proximité lyon,supermarket,
dépannage proxiserve harnes,supermarket,
alimentation pas chère,supermarket,
liste boutiques,supermarket,
easycash cash converters cash express,supermarket,
liste commerces,supermarket,
carrefour en Normandie,supermarket,
épiceries,supermarket,
ebennettoyage,supermarket,
eau parfum joy leclerc mont de marsan,supermarket,
eaux de normandie cany,supermarket,
eaux de normandie langrune,supermarket,
eaux-bonne casino,supermarket,
eaux thermales baldi costa ric,supermarket,
entreprises de nettoyage thonon,supermarket,
epicerie casino uriage,supermarket,
galerie marchande,supermarket,
blois lidl,supermarket,
bio coop oyonnax,supermarket,
bio coop rouen,supermarket,
biocoop marceau,supermarket,
